Minimum(Ph),Maximum(Ph),Average(PH),Minimum(pt),Maximum(Pt),Average(Pt),Minimum(ct),Maximum(ct),Average(ct),Minimum(ic),Maximum(ic),Average(ic),Minimum(d),Maximum(d),Average(d),Minimum(O),Maximum(O),Average(0),
2,10,6,450,500,475,0.5,21000,10500.25,5,500,252.5,0.01,5,2.505,21,85,53,
3,10,6.5,300,500,400,0.5,120,60.25,10,200,105,0.01,5,2.505,15,73,44,
2,9,5.5,300,500,400,0.5,500,250.25,50,100,75,0.01,5,2.505,60,98,79,
3,12,7.5,400,800,600,0.5,500,250.25,50,800,425,0.01,5,2.505,26.64,52.63,39.635,
4,9,6.5,300,700,500,0.5,4000,2000.25,10,100,55,0.01,5,2.505,22,89,55.5,
3,10,6.5,500,700,600,0.5,18000,9000.25,5,500,252.5,0.01,5,0,21,78,49.5,
5,9,7,300,700,500,0.5,15000,7500.25,5,500,252.5,0.01,5,2.505,21,74,47.5,
2,12,7,300,500,400,0.5,1500,750.25,5,500,252.5,0.01,5,2.505,21,81,51,
3,10,6.5,300,800,550,0.5,500,250.25,20,100,60,0.01,5,2.505,15,76,45.5,
4,9,6.5,300,500,400,0.5,3600,1800.25,5,500,252.5,0.01,5,2.505,21,98,59.5,
1,11,6,300,800,550,0.5,3000,1500.25,5,500,252.5,0.01,5,2.505,21,92,56.5,
2,9,5.5,400,700,550,0.5,3000,1500.25,5,500,252.5,0.01,5,2.505,21,98,59.5,
2,7,4.5,300,500,400,0.5,500,250.25,5,100,52.5,0.01,5,2.505,21,95,58,
2,12,7,300,600,450,0.5,700,350.25,5,500,252.5,0.01,5,2.505,36,98,67,
2,10,6,300,500,400,0.5,500,250.25,5,500,252.5,0.01,5,2.505,25,52,38.5,
2,11,6.5,300,500,400,0.5,500,250.25,5,500,252.5,0.01,5,2.505,20,81.21,50.605,
2,11,6.5,300,500,400,0.5,500,250.25,5,500,252.5,0.01,5,0,21,97,59,
3.5,8.5,6,300,600,450,0.5,1800,900.25,5,500,252.5,0.01,5,2.505,25,90,57.5,
3,10,6.5,300,600,450,0.5,1440,720.25,5,500,252.5,0.01,5,2.505,10,85,47.5,
2,9,5.5,300,600,450,0.5,1800,900.25,1,100,50.5,0.01,5,2.505,5,70,37.5,
3,8,5.5,400,900,650,0.5,250,125.25,10,80,45,0.01,5,2.505,21,99,60,
3,11,7,300,500,400,0.5,3000,1500.25,5,50,27.5,0.01,5,2.505,29.9,96.5,63.2,
2,6,4,300,700,500,0.5,500,250.25,5,80,42.5,0.01,5,2.505,21,99,60,
2,10,6,300,600,450,0.5,2400,1200.25,5,500,252.5,0.01,5,2.505,21,99,60,
3,11,7,300,400,350,0.5,500,250.25,5,200,102.5,0.01,5,2.505,21,87,54,
4,7,5.5,300,600,450,0.5,1440,720.25,5,500,252.5,0.01,5,2.505,21,99,60,
3,10,6.5,300,500,400,0.5,2400,1200.25,5,500,252.5,0.01,5,2.505,21,99,60,
2,11,6.5,300,450,375,0.5,1400,700.25,5,500,252.5,0.01,5,2.505,21,80,50.5,
3,10,6.5,500,800,650,200,1600,900,5,100,52.5,0.01,5,2.505,50,76,63,
3,10,6.5,300,700,500,0.5,48000,24000.25,5,200,102.5,0.01,5,2.505,23.4,99.1,61.25,
1,12,6.5,300,450,375,0.5,3000,1500.25,5,160,82.5,0.01,5,2.505,50,99,74.5,
2,11,6.5,300,800,550,0.5,3000,1500.25,5,500,252.5,0.01,5,2.505,50,99,74.5,
2,12,7,300,500,400,0.5,500,250.25,5,500,252.5,0.01,5,2.505,64,99,81.5,
3,6.28,4.64,500,700,600,0.5,500,250.25,5,500,252.5,0.01,5,2.505,15.48,100,57.74,
3,12,7.5,300,550,425,0.5,180,90.25,1,80,40.5,0.01,5,2.505,21,99,60,
2,7.6,4.8,300,1200,750,0.5,500,250.25,5,500,252.5,0.01,5,2.505,21,99,60,
2,7,4.5,300,300,300,0.5,500,250.25,60,1050,555,0.01,5,2.505,55,98,76.5,
3,9,6,600,700,650,0.5,120,60.25,20,100,60,0.01,5,2.505,85.6,100,92.8,
3,9,6,300,600,450,0.5,500,250.25,5,500,252.5,0.01,5,2.505,74,98,86,
3,9,6,300,800,550,0.5,500,250.25,5,500,252.5,0.01,5,2.505,85.6,100,92.8,
3,11,7,300,400,350,0.5,500,250.25,5,500,252.5,0.01,5,2.505,21,99,60,
2,9,5.5,350,700,525,0.5,500,250.25,5,500,252.5,0.01,5,2.505,43.2,97.5,70.35,
2,12,7,300,500,400,0.5,500,250.25,1,12,6.5,0.01,5,2.505,10,95,52.5,
3,9,6,400,800,600,0.5,60,30.25,5,500,252.5,0.01,5,2.505,21,99,60,
4,10,7,300,650,475,0.5,1920,960.25,1,7,4,0.01,5,2.505,21,99,60,
2,10,6,600,900,750,0.5,260,130.25,5,200,102.5,0.01,5,2.505,21,99,60,
2,12,7,300,500,400,0.5,500,250.25,5,100,52.5,0.01,5,2.505,21,99,60,
3,7,5,300,500,400,0.5,500,250.25,5,500,252.5,0.01,5,2.505,5,95,50,
2,11,6.5,200,700,450,0.5,420,210.25,3,126,64.5,0.01,5,2.505,12,98,55,
2,12,7,300,500,400,0.5,500,250.25,50,500,275,0.01,5,2.505,21,99,60,
5.5,12.5,9,300,900,600,0.5,500,250.25,15,35,25,0.01,5,2.505,78,92.7,85.35,
2,10,6,300,800,550,0.5,500,250.25,5,25,15,0.01,5,2.505,20,99,59.5,
3,11,7,300,400,350,0.5,3500,1750.25,5,500,252.5,0.01,5,2.505,21,99,60,
3,11,7,300,650,475,0.5,500,250.25,5,500,252.5,0.01,5,2.505,21,99,60,
2,12,7,300,700,500,0.5,500,250.25,5,500,0,0.01,5,2.505,21,99,60,
3,11,7,300,500,400,30,240,135,50,1500,775,0.01,5,0,21,98,59.5,
2,12,7,300,500,400,5,180,92.5,20,300,160,0.01,0.5,0.255,4.5,98.2,51.35,
4,11,7.5,300,500,400,10,90,50,10,50,30,0.1,0.5,0.3,10,99.8,54.9,
2,10,6,300,500,400,0.5,1500,750.25,5,300,152.5,0.2,1,0.6,21,98,59.5,
3,10,6.5,300,500,400,10,180,95,250,800,525,0.01,0.05,0.03,21,99,60,
3,11,7,300,600,450,0.5,7500,3750.25,20,400,210,0.01,0.05,0.03,21,90,55.5,
3,11,7,300,500,400,0.5,7500,3750.25,20,400,210,0.01,0.05,0.03,21,90,55.5,
2,7,4.5,300,500,400,0.5,120,60.25,5,20,12.5,0.01,5,0,27,96,61.5,
2,7,4.5,300,500,400,5,600,302.5,5,10,7.5,0.01,0.3,0.155,25,75,50,
2,10,6,300,500,400,5,300,152.5,5,1000,502.5,0.2,1,0.6,20,80,50,
2,7,4.5,300,450,375,0.5,1100,550.25,180,600,390,0.1,1,0.55,21,99,60,
5.5,7.5,6.5,300,500,400,0.5,1440,720.25,20,40,30,0.3,0.7,0.5,86,100,93,
